date,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39
12/28/2008,0,2,1,0,0,0,1,1,1,2,1,0,2,1,0,0,0,2,0,1,0,1,1,1,2,2,1,0,1,0,0,0,0,1,1,0,1,2,1
12/29/2008,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,2,0,1,1,2,1,0,0,1,2,1,1
12/30/2008,1,1,0,0,2,2,1,2,2,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1,1,2
12/31/2008,1,0,2,2,1,2,0,1,1,0,0,1,1,2,1,0,1,1,1,1,0,0,1,1,0,0,0,0,3,0,1,1,1,1,1,0,0,0,1
1/1/2009,1,0,1,1,0,0,1,1,0,1,4,2,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,0,2,0,0,1,5,1,0,0,1
1/2/2009,0,0,0,1,2,1,0,0,0,1,0,1,2,1,1,1,1,2,0,0,1,1,0,2,0,0,1,1,3,1,0,0,1,0,1,1,1,0,2
1/3/2009,1,2,0,5,1,0,1,1,1,2,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1
1/4/2009,2,1,0,0,0,0,1,2,1,1,0,1,0,2,0,0,2,2,1,1,1,1,0,0,0,1,1,1,0,3,0,1,2,0,1,0,1,0,0
1/5/2009,1,0,1,0,1,1,1,0,0,2,1,2,0,1,1,2,1,1,0,0,0,1,0,0,1,2,0,0,2,1,1,1,0,0,1,2,0,0,2
1/6/2009,0,0,2,2,1,0,2,0,0,2,0,1,1,0,0,2,1,2,3,0,0,1,0,1,1,1,1,0,0,2,0,0,1,1,0,1,1,0,0
1/7/2009,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,2,1,2,1,1,0,0,1,0,0,1,3,2,0,1,0,1,0
1/8/2009,2,0,2,2,0,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,0,1,2,0,0,1,1,1,2,2,1,3,0,0,2
1/9/2009,1,0,3,0,0,1,0,2,0,0,0,0,0,1,2,0,2,1,1,0,3,0,0,1,0,2,1,0,1,2,1,1,1,0,0,1,1,0,1
1/10/2009,0,2,2,0,2,1,2,0,1,0,1,1,0,0,2,0,0,0,1,1,1,0,0,2,0,2,2,0,1,1,0,2,0,0,0,1,1,1,0
1/11/2009,3,0,1,0,0,1,0,0,0,0,0,2,0,1,1,1,1,1,1,0,1,2,0,0,2,1,2,0,0,2,0,0,1,1,2,2,0,0,1
